Time,one,two,four,eight,sixteen,thirtytwo
3.5e-5,0.05,0.09166664999999999,0.10416665,0.1270833125,0.12812498374999998,0.13749999249999995
3.6e-5,0.15,0.125,0.11666666749999999,0.10624999625,0.134375006875,0.14583333906250004
3.7e-5,0.1833333,0.16666665,0.183333325,0.16874999999999998,0.16666667312500003,0.16354166906250003
3.8e-5,0.15,0.108333335,0.11666666,0.12916666,0.14166666749999995,0.15104166437499997
3.9e-5,0.1166667,0.1166667,0.18750002500000001,0.1833333375,0.16875,0.17499999812500006
4.0e-5,0.2166667,0.15833334999999998,0.154166675,0.17708334999999997,0.16562500249999998,0.16875000562500003
4.1e-5,0.1666667,0.15833334999999998,0.17500000000000002,0.17500000875000002,0.17187501062500002,0.18177084281250003
4.2e-5,0.1,0.11666665,0.14583332499999999,0.16666666249999998,0.17083332250000002,0.16093749718750006
4.3e-5,0.2166667,0.22499999999999998,0.208333325,0.2208333375,0.2197916775,0.20052084312500004
4.4e-5,0.25,0.21666665000000002,0.20416665,0.18749998375,0.204166660625,0.19843749718750006
4.5e-5,0.25,0.19166665,0.195833325,0.21041667125000002,0.192708335625,0.22239584593750003
4.6e-5,0.2166667,0.18333335,0.21666667499999998,0.2375000125,0.22812500625000004,0.21093750125000008
4.7e-5,0.2666667,0.2166667,0.24583335,0.22499999999999998,0.23645833750000003,0.22552084062500005
4.8e-5,0.2833334,0.26666670000000003,0.250000025,0.21875001249999998,0.20937500624999997,0.21302084375000002
4.9e-5,0.3,0.25,0.254166675,0.2375,0.22500000625,0.21770834375000006
5.0e-5,0.2333333,0.21666665000000002,0.23333335,0.2479166875,0.2437500125,0.22500000750000007
5.1e-5,0.1666667,0.18333335,0.20000002500000003,0.2166666875,0.21875001875000002,0.22656250937500005
5.2e-5,0.2166667,0.25000005000000003,0.25833337500000003,0.218750025,0.21979168124999995,0.22395834687500002
5.3e-5,0.1666667,0.2166667,0.25833335,0.2666666875,0.27500001874999996,0.263020846875
5.4e-5,0.25,0.23333335,0.266666675,0.2666666875,0.2468750125,0.24375000749999998
5.5e-5,0.2666667,0.25,0.304166675,0.31250001250000004,0.30104168125,0.27708334375000004
5.6e-5,0.3,0.275,0.266666675,0.250000025,0.25833334375,0.26354168124999994
5.7e-5,0.3166667,0.26666670000000003,0.25833335,0.23333335,0.23750001249999997,0.242187510625
5.8e-5,0.3,0.31666665,0.324999975,0.308333325,0.2802083375,0.27500001562500004
5.9e-5,0.3166667,0.28333335000000004,0.2625,0.28125,0.31250000625,0.294791675
6.0e-5,0.2833334,0.3416667,0.3041667,0.3000000125,0.31354167499999996,0.29270834375
6.1e-5,0.25,0.3,0.30833335,0.2979166875,0.2916666875,0.28333335
6.2e-5,0.25,0.25833335,0.300000025,0.2875000125,0.30000001249999997,0.29270834375
6.3e-5,0.3166667,0.30833335,0.27083335000000003,0.28333335,0.28020834375,0.27864584374999996
6.4e-5,0.35,0.24166664999999998,0.3,0.310416675,0.31354167499999996,0.3218750093749999
6.5e-5,0.3666667,0.40000005,0.37916669999999997,0.32083335,0.3197916875,0.33385417812499996
6.6e-5,0.4,0.33333335,0.316666675,0.30208335000000003,0.31770834374999996,0.33125001562499995
6.7e-5,0.3833334,0.32500005,0.35416669999999995,0.31458335,0.33854168749999997,0.33854168437499993
6.8e-5,0.2666667,0.30833334999999995,0.30833335,0.32083333750000004,0.32708334375000003,0.33281251249999994
6.9e-5,0.3166667,0.39166670000000003,0.3791667,0.36041670000000003,0.34166669375,0.32604169062500005
7.0e-5,0.2833334,0.3333334,0.308333375,0.31666669999999997,0.3364583687499999,0.35468752812499993
7.1e-5,0.3833334,0.40833339999999996,0.42083339999999997,0.39375006249999994,0.36875004375,0.36041669999999987
7.2e-5,0.2833334,0.3666667,0.35000002500000005,0.3479166875,0.36145835625,0.36822919375
7.3e-5,0.3166667,0.37500005000000003,0.400000025,0.3833333625,0.3822916875,0.3729166937499999
7.4e-5,0.3666667,0.43333335,0.429166675,0.4083333625,0.38541669375,0.38072919687499995
7.5e-5,0.35,0.4666667,0.425000025,0.4083333625,0.38333335625000003,0.37447919375
7.6e-5,0.3166667,0.40833335000000004,0.420833375,0.412500025,0.42083336250000003,0.3994791937500001
7.7e-5,0.4666667,0.52500005,0.4458333750000001,0.43125002500000004,0.40937501875000004,0.402604184375
7.8e-5,0.4166667,0.39166670000000003,0.40000005,0.37291670000000005,0.38541670624999996,0.390625028125
7.9e-5,0.3833334,0.47500005,0.41250005,0.4104167125,0.38645836875,0.3927083625000001
8.0e-5,0.4166667,0.4166667,0.387500025,0.40000002500000004,0.4114583562500001,0.41614585312500013
8.1e-5,0.45,0.45833335,0.45000002499999997,0.4562500375,0.42708335,0.413020853125
8.2e-5,0.4333334,0.45000005,0.408333375,0.3875000375,0.38958335,0.4088541843749999
8.3e-5,0.4833333,0.475,0.42916667499999994,0.429166675,0.42708334375,0.42187501874999994
8.4e-5,0.5166667,0.43333335,0.4416667,0.42291668750000005,0.43333335625,0.43906251875
8.5e-5,0.45,0.45,0.4,0.410416675,0.4375000125000001,0.4208333468749999
8.6e-5,0.45,0.40833335000000004,0.429166675,0.44583335,0.42708335625000005,0.42968751874999994
8.7e-5,0.4166667,0.45,0.4375,0.42291666250000004,0.43229166875,0.44062500937500004
8.8e-5,0.4166667,0.44166669999999997,0.466666675,0.45833335000000003,0.45208335,0.4572916875
8.9e-5,0.5166667,0.50833335,0.4916667,0.4895833625,0.47500001875,0.46666669062500005
9.0e-5,0.55,0.4666667,0.450000025,0.450000025,0.4458333625,0.45208336250000003
9.1e-5,0.4333334,0.42500004999999996,0.4541667,0.45833335000000003,0.46041668125,0.479166684375
9.2e-5,0.3833334,0.4666667,0.475000025,0.4770833625,0.471875025,0.47500002812500003
9.3e-5,0.5,0.50833335,0.504166675,0.48333335,0.48750001875,0.481770846875
9.4e-5,0.4666667,0.48333335,0.475000025,0.46250002500000004,0.493750025,0.48906252187499993
9.5e-5,0.5,0.45,0.48333335,0.49791668749999995,0.49687501875,0.48854169062499997
9.6e-5,0.5666667,0.5166667,0.4666667,0.4729166875,0.47500001875000003,0.4901041937500001
9.7e-5,0.4666667,0.48333335,0.48333335,0.5229167,0.5166666999999999,0.507812528125
9.8e-5,0.6166667,0.5416667,0.525000025,0.512500025,0.5114583625,0.5088541937500001
9.9e-5,0.4833333,0.475,0.50833335,0.512500025,0.51250001875,0.500520846875
0.0001,0.5166667,0.5166667,0.52083335,0.51458335,0.50520835,0.5052083500000001
0.000101,0.5166667,0.5166667,0.529166675,0.531250025,0.5135416937499999,0.512500021875
0.000102,0.4833333,0.5,0.50833335,0.52083335,0.5322916875,0.5218750187500001
0.000103,0.6333334,0.5583333500000001,0.50833335,0.5166666875,0.5312500124999999,0.528645846875
0.000104,0.5333334,0.5583334,0.545833375,0.5416667125,0.55208336875,0.5427083593750001
0.000105,0.4833333,0.45833335,0.5041667,0.508333375,0.520833375,0.516666696875
0.000106,0.5666667,0.5666667,0.52083335,0.5187500125,0.54166669375,0.53072919375
0.000107,0.6333334,0.5583333500000001,0.562500025,0.5687500249999999,0.5677083562499999,0.55364585625
0.000108,0.4833333,0.53333335,0.529166675,0.5208333375,0.5447916875,0.5468750281250001
0.000109,0.5333334,0.55000005,0.52500005,0.5437500375000001,0.5635417062499999,0.5526042031250001
0.00011,0.5833334,0.5916667,0.595833375,0.602083375,0.5718750437500001,0.5562500343750001
0.000111,0.5666667,0.57500005,0.53333335,0.5604166875000001,0.56562503125,0.5723958625000002
0.000112,0.5166667,0.5416667,0.570833375,0.5708333624999999,0.5552083625,0.5682291906250001
0.000113,0.5333334,0.52500005,0.595833375,0.5750000375,0.5635416999999999,0.5708333625000002
0.000114,0.6333334,0.60000005,0.5791667,0.581250025,0.5760417,0.590104196875
0.000115,0.6166667,0.62500005,0.60000005,0.6187500625,0.60625004375,0.6020833750000001
0.000116,0.65,0.625,0.625,0.59583335,0.59166669375,0.5906250312500002
0.000117,0.65,0.6583333499999999,0.62083335,0.5791666875,0.5958333625,0.60520836875
0.000118,0.55,0.6000000000000001,0.6208333500000001,0.6145833625000001,0.5916666875,0.5979166906250001
0.000119,0.6333334,0.6166667,0.6291667000000001,0.6375000375,0.61979170625,0.6182292062499999
0.00012,0.65,0.5583333500000001,0.612500025,0.6104166875000001,0.6166666875000001,0.6177083593750001
0.000121,0.6,0.60833335,0.5916667,0.5854166875,0.6104166875,0.6145833562500002
0.000122,0.5666667,0.5333333499999999,0.5916666749999999,0.6229166875,0.6083333625,0.6197917000000001
