Frequency,Real part,Imaginary part,Magnitude,Angle
+3.051758E+04,+1.576840E-04,-1.732828E-04,-7.260498E+01,-8.324944E-01
+3.076172E+04,-2.420713E-04,+8.314229E-05,-7.183685E+01,+2.810754E+00
+3.100586E+04,+3.100363E-04,+1.121071E-05,-7.016608E+01,+3.614360E-02
+3.125000E+04,-2.062539E-04,+7.433134E-05,-7.318164E+01,+2.795694E+00
+3.149414E+04,+9.893487E-05,-7.350685E-05,-7.818403E+01,-6.389946E-01
+3.173828E+04,-1.397873E-04,+7.886076E-05,-7.589062E+01,+2.627952E+00
+3.198242E+04,+3.383176E-04,-2.936104E-04,-6.697527E+01,-7.147686E-01
+3.222656E+04,-3.450438E-04,+3.121763E-04,-6.664523E+01,+2.406163E+00
+3.247070E+04,+6.378823E-05,-1.217968E-04,-7.723460E+01,-1.088348E+00
+3.271484E+04,+6.126371E-05,+3.291361E-05,-8.315465E+01,+4.929976E-01
+3.295898E+04,-3.729689E-05,+5.000288E-05,-8.409900E+01,+2.211665E+00
+3.320312E+04,-7.901655E-06,-8.402679E-05,-8.147341E+01,-1.664558E+00
+3.344727E+04,+1.615458E-04,+8.613550E-06,-7.582175E+01,+5.326911E-02
+3.369141E+04,-1.767602E-04,+1.358609E-05,-7.502673E+01,+3.064882E+00
+3.393555E+04,-3.801889E-05,-9.141519E-05,-8.008678E+01,-1.964928E+00
+3.417969E+04,+5.837146E-05,+1.259537E-04,-7.715083E+01,+1.136825E+00
+3.442383E+04,+1.936379E-04,+3.081902E-05,-7.415155E+01,+1.578341E-01
+3.466797E+04,-3.943241E-04,+4.157294E-05,-6.803493E+01,+3.036552E+00
+3.491211E+04,+2.671671E-04,-2.037941E-04,-6.947266E+01,-6.516405E-01
+3.515625E+04,+2.138703E-06,+8.016050E-05,-8.191770E+01,+1.544122E+00
+3.540039E+04,-9.092179E-05,+9.473591E-05,-7.763421E+01,+2.335654E+00
+3.564453E+04,+1.110951E-05,-2.793953E-05,-9.043813E+01,-1.192337E+00
+3.588867E+04,+2.157345E-04,-1.712902E-04,-7.119863E+01,-6.710631E-01
+3.613281E+04,-2.371742E-04,+1.338267E-04,-7.129823E+01,+2.627871E+00
